municipality_code,municipality_name,prefecture,account_name,friends_count,population,registration_rate,population_category,line_url,updated_at
,札幌市,北海道,札幌市,239364.0,1967323.0,12.17,市,https://page.line.me/sapp_ro,2025-12-03
,函館市,北海道,函館市,42199.0,232050.0,18.19,市,https://page.line.me/hakodate_pr,2025-12-03
,小樽市,北海道,小樽市,7813.0,101185.0,7.72,市,https://page.line.me/otarucity,2025-12-03
,旭川市,北海道,旭川市,33091.0,310371.0,10.66,市,https://page.line.me/asahikawa,2025-12-03
,室蘭市,北海道,室蘭市,42774.0,74017.0,57.79,市,https://page.line.me/muroran-kujiran,2025-12-03
,釧路市,北海道,釧路市,70725.0,151161.0,46.79,市,https://page.line.me/kushiroshi,2025-12-03
,帯広市,北海道,帯広市,36331.0,160431.0,22.65,市,https://page.line.me/obihiro-shi,2025-12-03
,北見市,北海道,北見市,6460.0,108468.0,5.96,市,https://page.line.me/kitami-line,2025-12-03
,岩見沢市,北海道,岩見沢市役所公式,6492.0,72799.0,8.92,市,https://page.line.me/iwamizawa_city,2025-12-03
,網走市,北海道,網走市,6532.0,32735.0,19.95,市,https://page.line.me/abashiri_city,2025-12-03
,留萌市,北海道,留萌市,2646.0,17494.0,15.13,市,https://page.line.me/rumoi_city,2025-12-03
,苫小牧市,北海道,苫小牧市,31477.0,164217.0,19.17,市,https://page.line.me/city.tomakomai,2025-12-03
,稚内市,北海道,稚内市,12787.0,30099.0,42.48,市,https://page.line.me/wakkanaicity,2025-12-03
,美唄市,北海道,美唄市,1828.0,17832.0,10.25,市,https://page.line.me/bibai,2025-12-03
,芦別市,北海道,芦別市,3946.0,10640.0,37.09,市,https://page.line.me/ashibetsu,2025-12-03
,江別市,北海道,江別市,27405.0,119049.0,23.02,市,https://page.line.me/ebetsucity,2025-12-03
,赤平市,北海道,赤平市,1689.0,8207.0,20.58,市,https://page.line.me/akabira_line,2025-12-03
,紋別市,北海道,紋別市,5432.0,19539.0,27.8,市,https://page.line.me/mombetsucity,2025-12-03
,士別市,北海道,士別市,2414.0,15779.0,15.3,市,https://page.line.me/fhy7037z,2025-12-03
,名寄市,北海道,名寄市役所,16916.0,24458.0,69.16,市,https://page.line.me/city.nayoro,2025-12-03
,三笠市,北海道,三笠市,2345.0,6921.0,33.88,市,https://page.line.me/mikasacity,2025-12-03
,根室市,北海道,根室市,7080.0,21779.0,32.51,市,https://page.line.me/nemurocity,2025-12-03
,千歳市,北海道,千歳市,37176.0,96888.0,38.37,市,https://page.line.me/cityofchitose,2025-12-03
,滝川市,北海道,滝川市,8347.0,36107.0,23.12,市,https://page.line.me/takikawa_line,2025-12-03
,砂川市,北海道,砂川市,4709.0,14981.0,31.43,市,https://page.line.me/sunagawa_city,2025-12-03
,深川市,北海道,深川市,2485.0,17817.0,13.95,市,https://page.line.me/fukagawa_city,2025-12-03
,富良野市,北海道,北海道富良野市,24152.0,19271.0,125.33,市,https://page.line.me/furano-city,2025-12-03
,登別市,北海道,登別市,8903.0,42372.0,21.01,市,https://page.line.me/noboribetsucity,2025-12-03
,恵庭市,北海道,恵庭市,18742.0,70483.0,26.59,市,https://page.line.me/eniwacity,2025-12-03
,伊達市,北海道,北海道伊達市,5366.0,30017.0,17.88,市,https://page.line.me/hokkaido_datecity,2025-12-03
,北広島市,北海道,北海道北広島市,12498.0,56206.0,22.24,市,https://page.line.me/kitahiro,2025-12-03
,石狩市,北海道,石狩市,10050.0,55493.0,18.11,市,https://page.line.me/ishikari_city,2025-12-03
,当別町,北海道,当別町,2756.0,15236.0,18.09,町,https://page.line.me/town_tobetsu,2025-12-03
,新篠津村,北海道,新篠津村,1566.0,2748.0,56.99,村,https://page.line.me/shinshinotsu,2025-12-03
,松前町,北海道,松前町,12550.0,5105.0,245.84,町,https://page.line.me/matsumae-town,2025-12-03
,知内町,北海道,北海道知内町,3676.0,3704.0,99.24,町,https://page.line.me/shiriuchi_town,2025-12-03
