municipality_code,municipality_name,prefecture,account_name,friends_count,population,registration_rate,population_category,updated_at
011002,札幌市,北海道,札幌市公式,150000,1973395,7.6,政令指定都市,2024-11-26
131016,東京都渋谷区,東京都,渋谷区公式LINE,80000,227850,35.11,一般市,2024-11-26
271004,大阪市,大阪府,大阪市公式,200000,2752412,7.27,政令指定都市,2024-11-26
141003,横浜市,神奈川県,横浜市公式,180000,3773214,4.77,政令指定都市,2024-11-26
231002,名古屋市,愛知県,名古屋市公式,170000,2332176,7.29,政令指定都市,2024-11-26
401005,福岡市,福岡県,福岡市公式,160000,1612392,9.92,政令指定都市,2024-11-26
011011,函館市,北海道,函館市公式,45000,245632,18.32,中核市,2024-11-26
122025,千葉市,千葉県,千葉市公式,95000,980284,9.69,政令指定都市,2024-11-26
261009,京都市,京都府,京都市公式,120000,1463723,8.2,政令指定都市,2024-11-26
281000,神戸市,兵庫県,神戸市公式,110000,1528478,7.2,政令指定都市,2024-11-26
